Price;Broker;HouseStatus;Address;Bed;Bath;Spsqft;SizeAcre,,,,,,,
$338,900;Brokered by Keller Williams Professionals;For Sale;14452 Ramblewood St ELivonia,MI 48154;4bed;2bath;1,635sqft1,635 square feet;0.23acre lot0.23 acre lot,,,
$53,000;Brokered by Coldwell Banker Realty;For Sale;1358 Barron Lake RdNiles,MI 49120;4bed;1.5+bath;1,927sqft1,927 square feet;2.6acre lot2.6 acre lot,,,
$3,900,000;Brokered by Real Broker LLC;Coming Soon;3333 W Shore DrOrchard Lake Village,MI 48324;5bed;5.5+bath;5,203sqft5,203 square feet;2.12acre lot2.12 acre lot,,
$674,900;Brokered by Divine Realty;Coming Soon;48773 Jamie CirShelby Township,MI 48317;4bed;3.5bath;2,950sqft2,950 square feet;0.31acre lot0.31 acre lot,,,
$899,900;Brokered by The Danberry Company-Temperance;Coming Soon;17562 Ida Rd WPetersburg,MI 49270;3bed;2.5bath;2,879sqft2,879 square feet;5.25acre lot5.25 acre lot,,,
$345,100;Brokered by Real Estate One Shelby Twp.;Coming Soon;36714 Waltham DrSterling Heights,MI 48310;4bed;1.5bath;1,955sqft1,955 square feet;9,148sqft lot9,148 square foot lot,
$182,500;Brokered by Berkshire Hathaway Home Services Kee Realty;Coming Soon;16978 Norborne StRedford,MI 48240;3bed;1.5bath;1,215sqft1,215 square feet;6,534sqft lot6,534 square foot lot,
$259,000;Brokered by Esquire Property Group LLC;Coming Soon;10364 Grand Blanc RdGaines,MI 48436;3bed;1bath;1,408sqft1,408 square feet;0.83acre lot0.83 acre lot,,,
$300,000;Brokered by Real Broker,LLC Troy;Coming Soon;1674 Eaton RdBerkley,MI 48072;3bed;2bath;1,000sqft1,000 square feet;5,663sqft lot5,663 square foot lot
$334,900;Brokered by Coldwell Banker Frewen Realty;Coming Soon;828 Lyons RdPortland,MI 48875;5bed;3bath;2,960sqft2,960 square feet;0.86acre lot0.86 acre lot,,,
$425,000;Brokered by Brookstone Realtors LLC;Coming Soon;71582 Julius DrBruce Township,MI 48065;4bed;3bath;1,716sqft1,716 square feet;0.23acre lot0.23 acre lot,,,
